PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"30251468","The face of animal cognition","Healy SD.","Integr Zool. 2019 Mar;14(2):132-144. doi: 10.1111/1749-4877.12361.","Healy SD","Integr Zool","2019","2018/09/26","","","10.1111/1749-4877.12361"
"29243003","Animal cognition: an integrative approach","Kelly DM.","Anim Cogn. 2018 Jan;21(1):1-2. doi: 10.1007/s10071-017-1151-1.","Kelly DM","Anim Cogn","2018","2017/12/16","","","10.1007/s10071-017-1151-1"
"29234898","The detour paradigm in animal cognition","Kabadayi C, Bobrowicz K, Osvath M.","Anim Cogn. 2018 Jan;21(1):21-35. doi: 10.1007/s10071-017-1152-0. Epub 2017 Dec 12.","Kabadayi C","Anim Cogn","2018","2017/12/14","PMC5756264","","10.1007/s10071-017-1152-0"
"27848045","Animal cognition in a human-dominated world","Griffin AS, Tebbich S, Bugnyar T.","Anim Cogn. 2017 Jan;20(1):1-6. doi: 10.1007/s10071-016-1051-9.","Griffin AS","Anim Cogn","2017","2016/11/17","","","10.1007/s10071-016-1051-9"
"28993917","Cognitive test batteries in animal cognition research: evaluating the past, present and future of comparative psychometrics","Shaw RC, Schmelz M.","Anim Cogn. 2017 Nov;20(6):1003-1018. doi: 10.1007/s10071-017-1135-1. Epub 2017 Oct 9.","Shaw RC","Anim Cogn","2017","2017/10/11","","","10.1007/s10071-017-1135-1"
"32779044","Theoretical virtues in eighteenth-century debates on animal cognition","van den Berg H.","Hist Philos Life Sci. 2020 Aug 10;42(3):37. doi: 10.1007/s40656-020-00332-z.","van den Berg H","Hist Philos Life Sci","2020","2020/08/12","PMC7417406","","10.1007/s40656-020-00332-z"
"32026058","Animal cognition in the field: performance of wild vervet monkeys (Chlorocebus pygerythrus) on a reversal learning task","Kumpan LT, Smeltzer EA, Teichroeb JA.","Anim Cogn. 2020 May;23(3):523-534. doi: 10.1007/s10071-020-01356-5. Epub 2020 Feb 5.","Kumpan LT","Anim Cogn","2020","2020/02/07","","","10.1007/s10071-020-01356-5"
"28176133","Extended spider cognition","Japyassú HF, Laland KN.","Anim Cogn. 2017 May;20(3):375-395. doi: 10.1007/s10071-017-1069-7. Epub 2017 Feb 7.","Japyassú HF","Anim Cogn","2017","2017/02/09","PMC5394149","","10.1007/s10071-017-1069-7"
"33170438","Arthropod spatial cognition","Pfeffer S, Wolf H.","Anim Cogn. 2020 Nov;23(6):1041-1049. doi: 10.1007/s10071-020-01446-4. Epub 2020 Nov 10.","Pfeffer S","Anim Cogn","2020","2020/11/10","PMC7700064","","10.1007/s10071-020-01446-4"
"29717100","Science and Culture: Animal cognition research offers outreach opportunity","Carey J.","Proc Natl Acad Sci U S A. 2018 May 1;115(18):4522-4524. doi: 10.1073/pnas.1804657115.","Carey J","Proc Natl Acad Sci U S A","2018","2018/05/03","PMC5939122","","10.1073/pnas.1804657115"
"31606800","What smells? Gauging attention to olfaction in canine cognition research","Horowitz A, Franks B.","Anim Cogn. 2020 Jan;23(1):11-18. doi: 10.1007/s10071-019-01311-z. Epub 2019 Oct 12.","Horowitz A","Anim Cogn","2020","2019/10/14","","","10.1007/s10071-019-01311-z"
"31435747","Are brain weights estimated from scaling relationships suitable for comparative studies of animal cognition?","Montgomery SH.","Anim Cogn. 2019 Nov;22(6):1191-1195. doi: 10.1007/s10071-019-01300-2. Epub 2019 Aug 21.","Montgomery SH","Anim Cogn","2019","2019/08/23","","","10.1007/s10071-019-01300-2"
"29293262","Testing complex animal cognition: Concept learning, proactive interference, and list memory","Wright AA.","J Exp Anal Behav. 2018 Jan;109(1):87-100. doi: 10.1002/jeab.299. Epub 2018 Jan 2.","Wright AA","J Exp Anal Behav","2018","2018/01/03","","","10.1002/jeab.299"
"31542841","Mirror self-recognition and its relationship to social cognition in chimpanzees","Krachun C, Lurz R, Mahovetz LM, Hopkins WD.","Anim Cogn. 2019 Nov;22(6):1171-1183. doi: 10.1007/s10071-019-01309-7. Epub 2019 Sep 21.","Krachun C","Anim Cogn","2019","2019/09/23","","","10.1007/s10071-019-01309-7"
"28093605","Erratum to: Animal cognition in a human-dominated world","Griffin AS, Tebbich S, Bugnyar T.","Anim Cogn. 2017 Jan;20(1):7. doi: 10.1007/s10071-017-1071-0.","Griffin AS","Anim Cogn","2017","2017/01/18","","","10.1007/s10071-017-1071-0"
"32840698","Spatial cognition in the context of foraging styles and information transfer in ants","Reznikova Z.","Anim Cogn. 2020 Nov;23(6):1143-1159. doi: 10.1007/s10071-020-01423-x. Epub 2020 Aug 25.","Reznikova Z","Anim Cogn","2020","2020/08/26","","","10.1007/s10071-020-01423-x"
"31485834","User innovation: a novel framework for studying animal innovation within a comparative context","Hopper LM, Torrance AW.","Anim Cogn. 2019 Nov;22(6):1185-1190. doi: 10.1007/s10071-019-01303-z. Epub 2019 Sep 4.","Hopper LM","Anim Cogn","2019","2019/09/06","","","10.1007/s10071-019-01303-z"
"27000781","Animal timing: a synthetic approach","de Carvalho MP, Machado A, Vasconcelos M.","Anim Cogn. 2016 Jul;19(4):707-32. doi: 10.1007/s10071-016-0977-2. Epub 2016 Mar 21.","de Carvalho MP","Anim Cogn","2016","2016/03/23","","","10.1007/s10071-016-0977-2"
"32385570","An information-theory approach to geometry for animal groups","Dahl CD, Ferrando E, Zuberbühler K.","Anim Cogn. 2020 Jul;23(4):807-817. doi: 10.1007/s10071-020-01374-3. Epub 2020 May 8.","Dahl CD","Anim Cogn","2020","2020/05/10","","","10.1007/s10071-020-01374-3"
"33048261","Social spatial cognition: social distance dynamics as an identifier of social interactions","Dorfman A, Eilam D.","Anim Cogn. 2020 Oct 13. doi: 10.1007/s10071-020-01441-9. Online ahead of print.","Dorfman A","Anim Cogn","2020","2020/10/13","","","10.1007/s10071-020-01441-9"
"31267319","Gesturing towards the future: cognition, big data, and the future of comparative gesture research","Cartmill EA, Hobaiter C.","Anim Cogn. 2019 Jul;22(4):597-604. doi: 10.1007/s10071-019-01278-x.","Cartmill EA","Anim Cogn","2019","2019/07/04","","","10.1007/s10071-019-01278-x"
"32060749","Spatial cognition in western gorillas (Gorilla gorilla): an analysis of distance, linearity, and speed of travel routes","Salmi R, Presotto A, Scarry CJ, Hawman P, Doran-Sheehy DM.","Anim Cogn. 2020 May;23(3):545-557. doi: 10.1007/s10071-020-01358-3. Epub 2020 Feb 14.","Salmi R","Anim Cogn","2020","2020/02/16","","","10.1007/s10071-020-01358-3"
"28044197","Thinking chickens: a review of cognition, emotion, and behavior in the domestic chicken","Marino L.","Anim Cogn. 2017 Mar;20(2):127-147. doi: 10.1007/s10071-016-1064-4. Epub 2017 Jan 2.","Marino L","Anim Cogn","2017","2017/01/04","PMC5306232","","10.1007/s10071-016-1064-4"
"28779278","The mismeasure of ape social cognition","Leavens DA, Bard KA, Hopkins WD.","Anim Cogn. 2019 Jul;22(4):487-504. doi: 10.1007/s10071-017-1119-1. Epub 2017 Aug 4.","Leavens DA","Anim Cogn","2019","2017/08/06","PMC6647540","","10.1007/s10071-017-1119-1"
"32323027","Multimodal interactions in insect navigation","Buehlmann C, Mangan M, Graham P.","Anim Cogn. 2020 Nov;23(6):1129-1141. doi: 10.1007/s10071-020-01383-2. Epub 2020 Apr 22.","Buehlmann C","Anim Cogn","2020","2020/04/24","PMC7700066","","10.1007/s10071-020-01383-2"
"32975654","Magnetoreception in Hymenoptera: importance for navigation","Fleischmann PN, Grob R, Rössler W.","Anim Cogn. 2020 Nov;23(6):1051-1061. doi: 10.1007/s10071-020-01431-x. Epub 2020 Sep 25.","Fleischmann PN","Anim Cogn","2020","2020/09/25","PMC7700068","","10.1007/s10071-020-01431-x"
"28406373","True Numerical Cognition in the Wild","Piantadosi ST, Cantlon JF.","Psychol Sci. 2017 Apr;28(4):462-469. doi: 10.1177/0956797616686862. Epub 2017 Mar 7.","Piantadosi ST","Psychol Sci","2017","2017/04/14","PMC5407312","NIHMS835635","10.1177/0956797616686862"
"31240504","Memory for own behaviour in pinnipeds","Smeele SQ, Anderson Hansen K, Ortiz ST, Johansson F, Kristensen JH, Larsson J, Siebert U, Wahlberg M.","Anim Cogn. 2019 Nov;22(6):947-958. doi: 10.1007/s10071-019-01286-x. Epub 2019 Jun 25.","Smeele SQ","Anim Cogn","2019","2019/06/27","","","10.1007/s10071-019-01286-x"
"33150473","Numerical averaging in mice","Gür E, Duyan YA, Balcı F.","Anim Cogn. 2020 Nov 4. doi: 10.1007/s10071-020-01444-6. Online ahead of print.","Gür E","Anim Cogn","2020","2020/11/05","","","10.1007/s10071-020-01444-6"
"32107657","Marmoset prosociality is intentional","Burkart JM, van Schaik CP.","Anim Cogn. 2020 May;23(3):581-594. doi: 10.1007/s10071-020-01363-6. Epub 2020 Feb 27.","Burkart JM","Anim Cogn","2020","2020/02/29","PMC7181450","","10.1007/s10071-020-01363-6"
"31720884","Gazing as a help requesting behavior: a comparison of dogs participating in animal-assisted interventions and pet dogs","Cavalli C, Carballo F, Dzik MV, Bentosela M.","Anim Cogn. 2020 Jan;23(1):141-147. doi: 10.1007/s10071-019-01324-8. Epub 2019 Nov 12.","Cavalli C","Anim Cogn","2020","2019/11/14","","","10.1007/s10071-019-01324-8"
"32894371","Homing in the arachnid taxa Araneae and Amblypygi","Ortega-Escobar J.","Anim Cogn. 2020 Nov;23(6):1189-1204. doi: 10.1007/s10071-020-01424-w. Epub 2020 Sep 7.","Ortega-Escobar J","Anim Cogn","2020","2020/09/07","","","10.1007/s10071-020-01424-w"
"31055705","Sleep influences cognitive performance in lemurs","Samson DR, Vining A, Nunn CL.","Anim Cogn. 2019 Sep;22(5):697-706. doi: 10.1007/s10071-019-01266-1. Epub 2019 May 4.","Samson DR","Anim Cogn","2019","2019/05/06","","","10.1007/s10071-019-01266-1"
"29876698","The function of primate multimodal communication","Fröhlich M, van Schaik CP.","Anim Cogn. 2018 Sep;21(5):619-629. doi: 10.1007/s10071-018-1197-8. Epub 2018 Jun 6.","Fröhlich M","Anim Cogn","2018","2018/06/08","","","10.1007/s10071-018-1197-8"
"30607673","Absolute brain size predicts dog breed differences in executive function","Horschler DJ, Hare B, Call J, Kaminski J, Miklósi Á, MacLean EL.","Anim Cogn. 2019 Mar;22(2):187-198. doi: 10.1007/s10071-018-01234-1. Epub 2019 Jan 3.","Horschler DJ","Anim Cogn","2019","2019/01/05","","","10.1007/s10071-018-01234-1"
"32350712","Non-visual homing and the current status of navigation in scorpions","Prévost ED, Stemme T.","Anim Cogn. 2020 Nov;23(6):1215-1234. doi: 10.1007/s10071-020-01386-z. Epub 2020 Apr 29.","Prévost ED","Anim Cogn","2020","2020/05/01","PMC7700070","","10.1007/s10071-020-01386-z"
"31183592","Ducklings imprint on chromatic heterogeneity","Martinho-Truswell A, McGregor B, Kacelnik A.","Anim Cogn. 2019 Sep;22(5):769-775. doi: 10.1007/s10071-019-01273-2. Epub 2019 Jun 10.","Martinho-Truswell A","Anim Cogn","2019","2019/06/12","PMC6687680","","10.1007/s10071-019-01273-2"
"32206923","Investigating information seeking in ravens (Corvus corax)","Lambert ML, Osvath M.","Anim Cogn. 2020 Jul;23(4):671-680. doi: 10.1007/s10071-020-01372-5. Epub 2020 Mar 21.","Lambert ML","Anim Cogn","2020","2020/03/25","PMC7320943","","10.1007/s10071-020-01372-5"
"28887811","Great ape gestures: intentional communication with a rich set of innate signals","Byrne RW, Cartmill E, Genty E, Graham KE, Hobaiter C, Tanner J.","Anim Cogn. 2019 Jul;22(4):471. doi: 10.1007/s10071-017-1127-1.","Byrne RW","Anim Cogn","2019","2017/09/10","","","10.1007/s10071-017-1127-1"
"30805799","Behavioral flexibility of a generalist carnivore","Daniels SE, Fanelli RE, Gilbert A, Benson-Amram S.","Anim Cogn. 2019 May;22(3):387-396. doi: 10.1007/s10071-019-01252-7. Epub 2019 Feb 25.","Daniels SE","Anim Cogn","2019","2019/02/27","","","10.1007/s10071-019-01252-7"
"30603931","Do cuttlefish have fraction number sense?","Huang YH, Lin HJ, Lin LY, Chiao CC.","Anim Cogn. 2019 Mar;22(2):163-168. doi: 10.1007/s10071-018-01232-3. Epub 2019 Jan 2.","Huang YH","Anim Cogn","2019","2019/01/04","","","10.1007/s10071-018-01232-3"
"31650291","Spatial learning in Japanese eels (Anguilla japonica)","Watanabe S, Shinozuka K.","Anim Cogn. 2020 Jan;23(1):233-236. doi: 10.1007/s10071-019-01320-y. Epub 2019 Oct 24.","Watanabe S","Anim Cogn","2020","2019/10/26","PMC6981313","","10.1007/s10071-019-01320-y"
"31965401","Gains v. losses, or context dependence generated by confusion?","Houston AI, Wiesner K.","Anim Cogn. 2020 Mar;23(2):361-366. doi: 10.1007/s10071-019-01339-1. Epub 2020 Jan 21.","Houston AI","Anim Cogn","2020","2020/01/23","PMC7018787","","10.1007/s10071-019-01339-1"
"31471781","Unpredictable environments enhance inhibitory control in pheasants","van Horik JO, Beardsworth CE, Laker PR, Langley EJG, Whiteside MA, Madden JR.","Anim Cogn. 2019 Nov;22(6):1105-1114. doi: 10.1007/s10071-019-01302-0. Epub 2019 Aug 30.","van Horik JO","Anim Cogn","2019","2019/09/01","PMC6834925","","10.1007/s10071-019-01302-0"
"31098850","Flexible gaze-following in rhesus monkeys","Bettle R, Rosati AG.","Anim Cogn. 2019 Sep;22(5):673-686. doi: 10.1007/s10071-019-01263-4. Epub 2019 May 16.","Bettle R","Anim Cogn","2019","2019/05/18","PMC6937777","NIHMS1062411","10.1007/s10071-019-01263-4"
"27757700","Agonistic character displacement in social cognition of advertisement signals","Pasch B, Sanford R, Phelps SM.","Anim Cogn. 2017 Mar;20(2):267-273. doi: 10.1007/s10071-016-1046-6. Epub 2016 Oct 18.","Pasch B","Anim Cogn","2017","2016/10/21","","","10.1007/s10071-016-1046-6"
"26359083","Elephant resource-use traditions","Fishlock V, Caldwell C, Lee PC.","Anim Cogn. 2016 Mar;19(2):429-33. doi: 10.1007/s10071-015-0921-x. Epub 2015 Sep 10.","Fishlock V","Anim Cogn","2016","2015/09/12","","","10.1007/s10071-015-0921-x"
"32076920","Multi-modal cue integration in the black garden ant","De Agrò M, Oberhauser FB, Loconsole M, Galli G, Dal Cin F, Moretto E, Regolin L.","Anim Cogn. 2020 Nov;23(6):1119-1127. doi: 10.1007/s10071-020-01360-9. Epub 2020 Feb 19.","De Agrò M","Anim Cogn","2020","2020/02/21","","","10.1007/s10071-020-01360-9"
"32651650","Neurally underdeveloped cuttlefish newborns exhibit social learning","Sampaio E, Ramos CS, Bernardino BLM, Bleunven M, Augustin ML, Moura É, Lopes VM, Rosa R.","Anim Cogn. 2021 Jan;24(1):23-32. doi: 10.1007/s10071-020-01411-1. Epub 2020 Jul 10.","Sampaio E","Anim Cogn","2021","2020/07/12","","","10.1007/s10071-020-01411-1"
"32100208","Odor span task in dogs (Canis familiaris)","Krichbaum S, Rogers B, Cox E, Waggoner LP, Katz JS.","Anim Cogn. 2020 May;23(3):571-580. doi: 10.1007/s10071-020-01362-7. Epub 2020 Feb 25.","Krichbaum S","Anim Cogn","2020","2020/02/27","","","10.1007/s10071-020-01362-7"
